cust_id,recency,customer_tenure_in_days,num_camp_success,response_last_campaign,webvisits,complain
291,43,79,0,0,8,0
292,68,186,0,0,7,0
293,44,460,1,0,2,0
294,64,651,0,1,9,0
295,85,118,1,0,1,0
296,93,294,1,0,7,0
297,12,430,0,0,4,0
298,86,164,0,0,6,0
299,28,246,0,0,7,0
300,42,510,0,0,3,0
301,13,196,0,0,4,0
302,86,112,0,0,5,0
303,59,337,0,0,7,0
304,30,686,0,0,3,0
305,33,350,0,0,5,0
306,23,530,0,0,2,0
307,81,365,0,0,7,0
308,6,142,0,0,7,0
309,41,509,0,0,7,0
310,78,536,0,0,8,0
311,49,361,0,0,3,0
312,39,364,0,0,8,0
313,3,236,0,0,7,0
314,37,418,0,0,4,0
315,22,503,0,0,8,0
316,79,441,0,0,8,0
317,46,293,0,0,4,0
318,82,454,0,1,5,0
319,10,537,1,1,7,0
320,51,366,0,0,8,0
321,38,657,0,0,3,0
322,10,572,3,1,4,0
323,14,596,0,0,8,0
324,18,485,1,1,3,0
325,95,690,0,0,3,0
326,11,206,0,0,6,0
327,65,585,2,0,8,0
328,71,383,0,0,3,0
329,13,320,1,1,8,0
330,58,233,0,0,1,0
331,65,373,0,0,6,0
332,0,15,0,1,1,0
333,33,553,0,0,7,0
334,90,179,1,0,6,0
335,95,196,0,0,4,0
336,93,537,2,0,4,0
337,38,246,0,1,3,0
338,18,612,0,0,1,0
339,57,556,0,0,6,0
340,45,214,0,0,7,1
341,61,416,1,0,6,0
342,6,566,0,0,1,0
343,65,315,0,0,2,1
344,52,266,0,0,5,0
345,87,641,1,0,2,0
346,38,101,0,0,4,0
347,53,127,0,0,4,0
348,31,585,0,0,9,0
349,67,550,0,0,7,0
350,65,679,0,0,4,0
351,64,410,0,0,2,0
352,82,472,0,0,7,0
353,27,591,0,0,3,0
354,63,577,0,0,8,0
355,66,70,0,0,6,0
356,69,611,0,0,8,0
357,52,306,1,0,4,0
358,45,597,1,0,8,0
359,2,374,0,1,8,0
360,86,682,0,0,8,0
361,23,470,1,1,9,0
362,13,548,0,0,8,0
363,14,272,0,0,6,0
364,92,382,0,0,7,0
365,38,539,0,0,8,0
366,74,229,0,0,7,0
367,14,566,0,0,7,0
368,94,678,0,0,8,0
369,33,93,0,0,3,0
370,32,412,0,0,5,0
371,11,258,1,1,7,0
372,78,634,0,0,2,0
373,56,670,0,0,6,0
374,57,419,0,0,5,0
375,7,179,1,0,1,0
376,0,204,0,0,4,0
377,66,58,0,0,2,0
378,86,439,0,0,6,0
379,80,126,0,0,3,0
380,56,268,0,0,2,0
381,18,654,0,0,8,0
382,51,669,0,1,8,0
383,71,554,0,0,7,0
384,71,599,0,1,7,0
385,80,465,0,0,6,0
386,2,642,0,0,5,0
387,83,320,0,0,5,0
388,29,477,0,0,7,0
389,11,252,1,1,7,0
390,55,22,0,0,6,0
391,19,670,0,1,8,0
392,1,32,0,0,6,0
393,19,390,0,0,9,0
394,28,622,0,0,7,0
395,76,591,0,1,8,0
396,50,599,0,0,4,0
397,1,458,1,0,6,0
398,90,678,0,0,7,0
399,83,524,0,0,3,0
400,73,92,0,0,1,0
401,24,223,1,0,5,0
402,11,137,4,0,5,0
403,33,494,2,1,3,0
404,4,483,0,0,8,0
405,14,56,0,0,7,0
406,30,40,0,0,6,0
407,75,26,0,0,8,0
408,26,392,2,1,1,0
409,77,444,1,0,2,0
410,8,209,0,0,8,0
411,42,68,3,0,1,0
412,28,87,2,0,6,0
413,52,58,0,0,5,0
414,1,432,0,0,3,0
415,1,418,4,1,4,0
416,42,610,0,0,8,0
417,76,524,0,0,7,0
418,27,218,0,0,4,0
419,28,149,0,0,5,0
420,49,375,0,0,5,0
421,12,192,0,0,5,0
422,14,297,0,0,8,0
423,89,313,0,0,7,0
424,96,509,0,0,8,0
425,56,362,0,0,8,0
426,72,193,0,0,4,0
427,14,329,0,0,5,0
428,13,548,0,0,8,0
429,99,106,0,0,8,0
430,72,353,0,0,8,0
431,92,265,0,0,8,0
432,87,184,2,0,1,0
433,7,387,0,0,8,0
434,91,191,0,0,3,0
435,71,425,0,0,3,0
436,24,500,0,0,7,0
437,17,257,0,0,5,0
438,87,212,0,0,3,0
439,21,662,0,0,7,0
440,90,680,0,0,8,0
441,44,654,2,1,4,0
442,71,456,1,1,6,0
443,52,37,0,0,2,0
444,78,644,0,0,3,0
445,2,181,1,1,7,0
446,60,282,0,0,1,0
447,25,154,0,0,6,0
448,47,5,1,0,1,0
449,46,127,0,0,7,0
450,83,120,0,0,1,0
451,17,434,2,1,2,0
452,13,608,0,0,8,0
453,86,117,0,0,6,0
454,92,685,0,0,7,0
455,47,461,0,0,4,0
456,18,264,0,1,8,0
457,81,696,1,1,6,0
458,91,545,0,0,7,0
459,58,44,0,0,5,0
460,40,498,0,0,5,0
461,67,53,0,0,3,0
462,19,39,0,0,5,0
463,93,616,0,0,5,0
464,41,608,0,0,8,0
465,60,183,0,0,7,0
466,54,324,0,0,6,0
467,26,681,1,1,9,0
468,30,244,0,0,5,0
469,93,629,0,0,3,0
470,35,655,0,1,3,0
471,4,229,0,0,7,0
472,92,370,0,0,6,0
473,24,156,0,0,7,0
474,96,611,0,0,8,0
475,11,645,0,0,6,0
476,99,575,0,0,8,0
477,72,494,1,0,6,0
478,77,535,0,0,8,0
479,85,216,1,0,7,0
480,88,444,0,0,5,0
481,22,87,0,0,3,0
482,83,436,0,0,6,0
483,63,40,0,0,3,0
484,9,454,0,0,2,0
485,92,694,0,0,8,0
486,2,228,0,0,5,0
487,6,549,0,0,8,0
488,66,676,0,0,8,0
489,49,375,0,0,5,0
490,29,601,0,0,6,0
491,77,211,0,0,3,0
492,77,347,0,0,1,0
493,71,375,0,0,7,0
494,49,562,0,0,5,0
495,97,402,1,0,7,0
496,6,460,0,0,3,0
497,93,254,1,0,7,0
498,78,106,1,0,1,0
499,62,416,0,0,8,0
500,47,443,0,0,2,0
501,9,513,0,0,8,0
502,77,366,0,0,7,0
503,24,312,0,0,2,0
504,19,122,2,0,3,0
505,67,155,0,0,7,0
506,95,122,1,0,5,0
507,48,319,0,0,5,0
508,73,639,2,0,6,0
509,35,661,0,1,6,0
510,76,574,0,0,8,0
511,20,216,0,0,2,0
512,72,23,0,0,3,0
513,20,688,0,0,8,0
514,69,240,0,0,6,0
515,80,501,0,0,5,0
516,65,286,0,0,1,0
517,52,13,1,0,7,0
518,65,433,0,0,4,0
519,57,379,0,0,6,0
520,70,446,0,0,7,0
521,0,164,0,0,5,0
522,19,136,1,1,4,0
523,50,327,0,0,2,0
524,67,190,0,0,7,0
525,46,236,0,0,8,0
526,37,694,0,0,7,0
527,38,580,0,0,6,0
528,9,328,2,1,3,0
529,56,392,0,0,3,0
530,98,115,0,0,5,0
531,68,175,0,1,1,0
532,72,210,0,0,6,0
533,47,156,1,1,8,0
534,33,94,0,0,6,0
535,87,92,0,0,3,0
536,0,84,1,1,7,0
537,73,144,0,0,6,0
538,74,439,0,0,8,0
539,4,237,0,1,1,0
540,50,657,0,0,8,0
541,57,487,0,0,5,0
542,30,452,1,0,2,0
543,27,332,0,0,5,0
544,61,405,4,1,6,0
545,4,295,0,0,5,0
546,75,380,0,0,2,0
547,12,371,0,0,4,0
548,13,167,0,0,4,0
549,9,238,0,0,3,0
550,48,24,0,0,4,0
551,80,573,0,0,8,0
552,60,297,0,0,5,0
553,43,361,0,0,6,0
554,19,571,0,0,7,0
555,26,657,0,0,6,0
556,58,155,0,0,7,0
557,42,291,0,0,8,0
558,27,334,0,0,5,0
559,56,272,0,0,8,0
560,27,516,3,1,5,0
561,10,91,0,0,7,0
562,48,312,0,0,8,0
563,39,288,0,0,5,0
564,85,357,0,0,7,0
565,64,598,1,0,6,0
566,69,470,0,0,8,0
567,54,254,0,0,8,0
568,57,442,0,0,7,0
569,64,89,0,0,6,0
570,10,74,0,0,4,0
571,65,646,3,1,3,0
572,74,290,0,0,2,0
573,4,45,1,0,7,0
574,94,315,0,0,4,0
575,41,627,0,1,7,1
576,25,566,2,1,2,0
577,94,233,0,0,1,0
578,9,152,0,0,4,0
579,47,293,0,0,1,0
580,12,285,0,1,7,0
581,80,613,0,0,7,0
582,20,255,0,0,8,0
583,39,392,0,0,6,0
584,57,683,0,0,8,0
585,27,495,0,0,7,0
586,83,669,0,0,5,0
587,79,287,0,0,1,0
588,69,569,0,0,5,0
589,77,521,0,0,7,0
590,15,549,0,1,10,0
591,99,140,0,0,5,0
592,61,477,0,0,7,0
593,23,613,0,0,7,0
594,84,55,1,0,3,0
595,74,316,0,0,6,0
596,90,348,0,0,3,0
597,41,567,0,0,8,0
598,28,246,0,0,7,0
599,73,599,0,1,5,0
600,88,340,0,0,7,0
601,94,421,0,0,8,0
602,31,393,0,0,1,0
603,31,470,0,0,4,0
604,6,683,0,0,2,0
605,23,355,0,0,6,0
606,92,352,0,0,7,0
607,52,113,2,0,1,0
608,50,185,0,0,7,0
609,54,393,1,0,3,0
610,93,527,0,0,6,0
611,56,393,0,0,3,0
612,28,648,0,1,7,0
613,94,663,0,0,9,0
614,76,560,0,0,9,0
615,43,224,0,0,8,0
616,46,18,0,0,1,0
617,13,167,0,0,4,0
618,27,136,1,1,7,0
619,12,439,0,1,3,0
620,3,113,0,0,7,0
621,72,392,0,0,5,0
622,6,539,0,0,4,0
623,53,641,0,1,7,0
624,58,237,1,0,2,0
625,78,634,0,0,2,0
626,57,49,0,0,2,0
627,37,548,0,0,6,0
628,20,420,1,0,5,0
629,73,478,2,1,2,0
630,56,317,0,0,6,0
631,36,526,2,1,3,0
632,9,200,0,0,4,0
633,42,39,0,0,4,0
634,28,288,0,0,5,0
635,23,134,1,0,1,0
636,38,673,0,0,9,0
637,63,688,0,0,6,0
638,71,79,0,0,2,0
639,9,697,0,0,8,0
640,81,144,0,0,0,0
641,87,178,0,0,6,0
642,92,647,0,0,6,0
643,36,304,0,0,4,0
644,86,253,1,0,6,0
645,83,571,0,0,6,0
646,74,229,0,0,7,0
647,87,188,0,0,4,0
648,29,662,0,0,8,0
649,88,546,0,0,6,0
650,77,550,0,0,8,0
651,25,411,0,0,7,0
652,34,279,0,0,6,0
653,43,418,0,0,8,0
654,76,236,0,0,3,0
655,81,337,0,0,5,0
656,87,235,0,0,6,0
657,33,657,0,0,3,0
658,38,197,0,0,4,0
659,63,577,0,0,8,0
660,26,40,0,0,8,0
661,17,609,1,1,5,0
662,75,180,0,0,1,0
663,13,380,1,1,9,0
664,19,190,0,0,2,0
665,51,256,0,0,6,0
666,81,670,0,0,7,0
667,32,341,0,0,8,0
668,84,250,0,0,5,0
669,87,194,0,0,1,0
670,99,481,0,0,4,0
671,96,657,0,1,2,0
672,21,696,0,0,0,0
673,40,46,2,0,1,0
674,3,274,0,0,2,0
675,98,635,1,1,6,0
676,73,310,0,0,2,0
677,90,354,0,0,3,0
678,29,241,0,0,6,0
679,3,398,0,1,7,0
680,94,340,0,0,3,0
681,65,97,0,0,6,0
682,33,449,0,1,8,0
683,46,240,0,0,6,0
684,29,83,1,0,4,0
685,99,287,0,0,4,0
686,26,111,0,0,4,0
687,30,140,1,0,8,0
688,27,63,3,1,1,0
689,24,187,0,0,7,0
690,93,537,2,0,4,0
691,34,4,0,0,2,0
692,88,447,0,0,8,0
693,96,222,1,0,7,0
694,10,537,1,1,7,0
695,26,354,0,0,8,0
696,49,618,0,0,5,0
697,11,496,0,0,6,0
698,44,413,0,0,4,0
699,75,328,0,0,7,0
700,64,571,0,0,1,0
701,19,646,1,1,2,0
702,45,505,0,0,7,0
703,77,457,0,0,6,0
704,9,94,0,0,7,0
705,1,559,0,0,4,0
706,90,425,0,0,7,0
707,43,39,0,0,7,0
708,79,503,0,0,3,0
709,19,699,1,1,9,0
710,99,23,0,0,6,0
711,62,220,1,0,2,0
712,41,157,0,0,1,0
713,60,263,0,0,7,0
714,17,442,1,0,4,0
715,24,277,0,0,5,0
716,60,693,0,0,8,0
717,57,384,0,0,3,0
718,74,258,0,0,8,0
719,22,265,3,0,5,0
720,46,63,3,1,2,0
721,69,459,0,0,4,0
722,29,28,0,0,2,0
723,37,470,0,0,7,0
724,26,691,0,0,4,0
725,8,465,0,0,5,0
726,26,482,0,0,8,0
727,79,181,0,0,5,0
728,71,334,0,0,6,0
729,83,157,1,0,3,0
730,57,415,1,0,1,0
731,37,204,0,0,5,0
732,30,114,0,0,1,0
733,34,289,1,0,7,0
734,0,153,1,1,6,0
735,89,182,0,0,2,0
736,92,271,0,0,3,0
737,87,188,0,0,4,0
738,20,488,3,1,8,0
739,56,60,0,0,3,0
740,28,507,0,0,4,0
741,55,689,0,1,6,0
742,25,285,0,0,8,0
743,0,473,0,0,4,0
744,86,86,0,0,5,0
745,8,271,0,0,7,0
746,33,68,0,0,6,0
747,13,246,0,0,3,0
748,12,417,1,1,7,0
749,92,40,0,0,1,0
750,90,430,0,0,6,0
751,8,658,0,0,2,0
752,6,664,0,0,6,0
753,91,303,0,0,4,0
754,52,401,0,0,6,0
755,3,363,0,0,2,0
756,57,201,0,0,3,0
757,9,433,0,1,8,0
758,22,444,0,0,7,0
759,76,570,0,0,20,0
760,86,482,0,0,7,0
761,64,305,0,0,6,0
762,90,156,0,0,1,0
763,79,195,0,0,3,0
764,28,292,0,0,2,0
765,86,87,0,0,1,0
766,42,78,0,0,4,0
767,39,51,0,0,7,0
768,8,104,0,0,7,0
769,40,378,0,0,8,0
770,5,610,0,0,7,0
771,96,136,0,0,7,0
772,28,545,1,1,7,0
773,22,33,1,0,7,0
774,30,661,0,0,9,0
775,45,532,0,0,2,0
776,58,601,3,1,2,0
777,49,347,1,0,7,0
778,37,245,0,0,4,0
779,70,452,0,0,3,0
780,33,527,1,0,7,0
781,98,3,0,0,6,0
782,17,616,0,0,8,0
783,54,486,0,0,3,0
784,39,199,0,0,8,0
785,81,200,0,0,4,0
786,71,462,0,0,5,0
787,62,528,0,0,6,0
788,8,238,0,0,2,0
789,76,451,3,1,8,0
790,66,239,0,0,7,0
791,83,100,0,0,2,0
792,28,253,0,0,3,0
793,87,466,1,0,8,0
794,43,451,0,0,2,0
795,0,258,0,0,6,0
796,1,437,0,1,8,0
797,1,31,0,0,2,0
798,72,512,0,0,4,0
799,72,220,0,0,1,0
800,12,50,0,0,3,0
801,89,111,0,0,6,0
802,67,584,0,0,9,0
803,54,94,0,0,5,0
804,34,303,0,0,8,0
805,15,422,2,1,3,0
806,43,327,0,0,7,0
807,0,16,1,1,5,0
808,74,439,0,0,8,0
809,61,405,4,1,6,0
810,51,441,0,0,8,0
811,97,420,2,0,5,0
812,75,535,0,0,8,0
813,83,416,0,0,4,0
814,23,122,0,0,6,0
815,65,221,0,0,5,0
816,94,659,0,0,6,0
817,42,422,0,0,5,0
818,10,272,0,0,7,0
819,94,502,0,0,8,0
820,50,459,0,0,3,0
821,46,432,0,0,7,0
822,98,646,0,0,3,0
823,42,364,0,0,6,0
824,30,102,1,0,5,0
825,11,330,0,0,5,0
826,61,579,0,0,5,0
827,12,50,0,0,6,0
828,76,598,0,0,9,0
829,2,339,0,0,1,0
830,43,169,3,1,2,0
831,27,640,0,0,3,0
832,60,554,0,0,5,0
833,79,251,0,0,5,0
834,96,417,0,0,5,0
835,17,383,0,0,6,0
836,0,171,0,0,4,0
837,38,602,2,0,3,0
838,43,36,1,0,5,0
839,1,106,2,1,8,0
840,25,456,0,0,7,0
841,2,119,0,0,7,0
842,66,497,0,0,5,0
843,49,635,0,0,8,0
844,5,422,1,0,2,0
845,71,156,0,0,8,0
846,35,136,0,0,8,0
847,94,538,0,0,6,0
848,80,635,0,0,7,0
849,61,196,0,0,7,0
850,29,385,0,0,4,0
851,0,462,0,0,5,0
852,80,280,0,0,7,0
853,54,421,0,0,3,0
854,71,622,0,0,7,0
855,27,276,2,0,3,0
856,61,176,1,0,3,0
857,55,20,0,0,7,0
858,35,88,0,0,7,0
859,34,268,0,0,3,0
860,95,287,3,0,2,0
861,64,366,0,0,6,0
862,30,502,0,0,8,0
863,12,87,0,0,1,0
864,96,530,0,0,9,0
865,16,141,1,1,8,0
866,16,623,0,0,8,0
867,78,343,0,0,5,0
868,83,12,0,0,6,0
869,96,657,0,1,2,0
870,67,364,0,0,1,0
871,87,582,0,0,9,0
872,34,202,0,0,7,0
873,46,456,0,0,8,0
874,7,197,0,0,5,0
875,73,507,1,0,9,0
876,54,661,0,0,5,0
877,93,168,0,0,1,0
878,52,62,0,0,7,0
879,53,515,1,1,6,0
880,81,566,0,0,6,0
881,8,328,0,1,5,0
882,97,159,0,0,4,0
883,50,324,0,0,6,0
884,38,252,0,0,8,0
885,61,510,0,0,2,0
886,46,319,0,0,6,0
887,73,352,0,0,2,0
888,19,209,0,0,3,0
889,10,464,0,0,5,0
890,94,83,0,0,0,0
891,10,222,1,1,2,0
892,37,211,0,0,7,0
893,94,178,0,0,5,0
894,23,113,0,0,4,0
895,75,367,0,0,1,0
896,40,236,0,0,2,0
897,24,522,0,1,8,0
898,11,352,0,1,7,0
899,29,575,1,1,3,0
900,51,416,0,0,1,0
901,86,187,0,0,2,0
902,9,328,2,1,3,0
903,30,226,0,0,3,0
904,73,409,1,0,3,0
905,25,79,2,0,7,0
906,67,440,0,0,1,0
907,67,523,0,1,6,0
908,58,58,0,0,4,0
909,82,44,1,0,5,0
910,98,669,0,0,8,0
911,93,141,1,0,2,0
912,53,183,1,0,2,0
913,66,58,0,0,2,0
914,6,226,0,0,3,0
915,42,84,0,0,2,0
916,78,141,0,0,3,0
917,29,688,1,0,7,0
918,82,556,0,0,8,0
919,92,40,0,0,1,0
920,78,37,0,0,8,0
921,54,250,0,0,4,0
922,45,405,1,0,8,0
923,59,352,0,0,5,0
924,8,326,0,0,6,0
925,51,386,0,0,6,0
926,51,346,0,0,5,0
927,76,399,1,1,1,0
928,62,484,3,1,2,0
929,86,556,0,0,7,0
930,60,638,2,0,8,0
931,56,135,0,0,3,0
932,83,274,0,0,3,0
933,92,207,0,0,4,0
934,31,638,0,0,8,0
935,80,52,0,0,4,0
936,39,54,1,0,5,0
937,20,518,0,1,6,0
938,53,416,0,0,8,0
939,84,51,0,0,6,0
940,50,506,0,0,8,0
941,96,577,0,1,5,0
942,94,683,0,0,5,0
943,25,55,0,0,5,0
944,48,430,0,0,6,0
945,65,648,0,0,2,0
946,69,55,0,0,5,0
947,12,548,0,1,6,0
948,84,260,0,0,6,0
949,47,6,0,0,5,0
950,87,292,0,0,4,0
951,35,316,2,1,2,0
952,47,627,0,0,7,0
953,48,444,0,1,8,0
954,46,626,0,0,9,0
955,27,149,0,0,1,0
956,37,530,0,0,7,0
957,8,596,0,0,8,1
958,29,226,0,0,5,0
959,85,625,0,0,2,0
960,2,148,0,0,0,0
961,66,699,1,0,1,0
962,60,263,0,0,7,0
963,54,179,0,0,4,0
964,70,292,1,0,7,0
965,55,354,0,0,4,0
966,20,9,0,0,14,0
967,78,328,0,0,7,0
968,63,260,0,0,6,0
969,17,320,2,1,3,0
970,43,314,0,0,4,0
971,13,218,0,0,2,0
972,46,249,3,1,5,0
973,65,415,0,0,2,0
974,1,2,0,0,5,0
975,6,102,4,1,1,0
976,32,579,0,0,7,0
977,34,669,1,0,9,0
978,70,133,0,0,4,0
979,49,9,0,0,3,0
980,65,97,0,0,6,0
981,25,234,1,0,6,0
982,84,126,0,0,5,0
983,7,322,1,0,6,0
984,34,240,0,0,4,0
985,38,659,2,1,7,0
986,1,265,2,1,1,0
987,25,461,2,1,8,0
988,25,503,0,0,8,0
989,50,410,0,0,8,0
990,46,514,1,1,4,0
991,96,603,0,0,3,0
992,57,415,1,0,1,0
993,47,156,1,0,8,0
994,52,417,0,0,6,0
