cust_id,web,store,catalogue
127,2,2,2
128,1,2,1
129,2,3,0
130,5,12,4
131,3,7,5
132,5,10,7
133,8,9,5
134,4,3,2
135,3,6,3
136,2,3,0
137,1,2,0
138,4,4,1
139,2,4,1
140,4,7,4
141,8,6,1
142,7,5,1
143,3,4,0
144,8,11,5
145,10,6,4
146,6,5,1
147,0,3,0
148,1,6,1
149,3,10,4
150,1,2,0
151,10,9,6
152,3,4,0
153,5,10,4
154,0,0,22
155,2,4,0
156,6,4,7
157,3,6,2
158,3,7,4
159,2,3,1
160,1,3,0
161,2,3,0
162,3,3,1
163,2,3,1
164,2,2,2
165,11,8,8
166,9,5,10
167,2,3,0
168,0,3,0
169,5,12,7
170,4,4,1
171,2,3,1
172,6,13,4
173,1,3,1
174,2,3,0
175,1,2,1
176,1,4,0
177,7,8,1
178,4,9,10
179,2,3,0
180,1,2,1
181,8,12,7
182,3,3,0
183,5,6,1
184,1,2,1
185,7,12,3
186,4,6,6
187,5,5,6
188,5,3,1
189,8,7,1
190,4,9,4
191,11,9,6
192,7,10,9
193,1,3,0
194,0,2,1
195,1,3,0
196,4,5,2
197,2,3,0
198,11,9,4
199,3,6,1
200,4,9,6
201,5,5,1
202,7,8,1
203,3,9,4
204,8,5,1
205,1,2,0
206,8,6,10
207,4,5,1
208,11,11,4
209,1,4,1
210,3,7,5
211,6,11,3
212,4,4,1
213,9,12,6
214,3,4,1
215,8,4,2
216,2,11,2
217,3,8,5
218,1,2,0
219,5,8,1
220,6,4,3
221,1,2,0
222,1,3,0
223,7,11,8
224,2,4,0
225,1,3,0
226,5,11,2
227,3,3,1
228,6,10,5
229,6,4,4
230,2,2,0
231,3,9,9
232,11,8,5
233,1,3,0
234,5,6,3
235,9,6,4
236,4,5,10
237,9,6,6
238,2,3,0
239,1,3,0
240,6,13,9
241,3,5,1
242,4,11,6
243,1,3,0
244,8,5,3
245,3,7,2
246,2,4,0
247,1,2,0
248,1,2,1
249,10,10,2
250,4,6,1
251,1,2,0
252,5,4,2
253,3,3,1
254,3,8,7
255,3,2,2
256,3,6,3
257,2,2,2
258,3,5,4
259,3,4,0
260,4,4,2
261,2,4,0
262,2,4,0
263,6,12,3
264,7,10,4
265,3,5,3
266,3,8,5
267,9,9,3
268,3,4,0
269,8,4,2
270,4,6,1
271,5,8,1
272,2,3,0
273,3,2,1
274,6,13,3
275,6,12,2
276,5,5,11
277,7,5,1
278,1,3,0
279,3,3,1
280,2,9,7
281,3,3,0
282,0,3,0
283,3,11,6
284,1,3,0
285,3,3,0
286,2,6,3
287,8,12,3
288,3,3,1
289,9,9,2
290,2,3,1
291,5,4,1
292,3,3,1
293,6,9,7
294,3,3,0
295,2,10,5
296,8,6,3
297,4,4,2
298,3,3,1
299,2,3,0
300,6,10,6
301,3,6,1
302,2,3,0
303,3,3,0
304,4,6,3
305,1,3,0
306,3,12,3
307,1,2,0
308,1,2,0
309,10,5,3
310,8,8,2
311,4,5,8
312,2,4,0
313,1,3,0
314,1,3,0
315,3,4,1
316,1,2,0
317,1,3,1
318,9,5,3
319,1,2,1
320,2,3,0
321,4,12,5
322,11,6,4
323,1,3,0
324,7,8,6
325,4,11,5
326,2,4,1
327,4,11,2
328,3,8,5
329,1,2,0
330,2,4,9
331,1,3,0
332,4,6,4
333,2,3,0
334,1,2,0
335,6,9,7
336,8,8,4
337,4,5,6
338,3,10,4
339,11,5,3
340,2,3,0
341,2,4,0
342,3,8,3
343,5,5,3
344,4,4,6
345,4,10,7
346,6,10,2
347,2,4,1
348,1,2,0
349,6,6,3
350,6,9,2
351,4,11,10
352,2,3,0
353,4,8,3
354,2,8,4
355,1,3,0
356,5,4,1
357,1,2,1
358,4,12,3
359,3,3,0
360,3,2,2
361,1,2,1
362,1,3,0
363,3,10,5
364,1,3,0
365,1,2,0
366,0,3,0
367,4,6,1
368,4,4,1
369,0,2,1
370,1,2,2
371,7,4,3
372,4,13,5
373,2,3,1
374,2,12,2
375,5,8,6
376,3,6,1
377,5,6,4
378,4,4,1
379,5,12,3
380,4,10,9
381,3,4,1
382,1,2,1
383,1,3,0
384,2,3,2
385,2,3,1
386,9,9,4
387,2,5,1
388,5,4,1
389,6,6,3
390,1,3,0
391,2,4,0
392,5,5,1
393,3,2,0
394,7,8,1
395,3,3,0
396,4,6,3
397,11,12,9
398,5,7,1
399,5,8,4
400,3,10,5
401,2,3,1
402,2,11,7
403,7,9,9
404,10,8,2
405,2,3,0
406,2,3,0
407,1,2,0
408,3,8,4
409,7,5,10
410,1,2,0
411,6,13,7
412,2,10,5
413,1,4,0
414,5,12,5
415,2,9,4
416,8,7,1
417,9,9,6
418,8,13,3
419,1,4,0
420,1,3,0
421,6,12,2
422,9,5,1
423,2,4,1
424,2,3,0
425,1,3,0
426,2,5,1
427,0,3,0
428,1,3,0
429,1,3,0
430,1,2,0
431,5,4,0
432,4,7,5
433,2,3,0
434,3,9,2
435,4,11,7
436,8,7,9
437,2,4,0
438,4,8,2
439,9,10,5
440,5,6,1
441,7,9,7
442,4,5,1
443,2,8,1
444,5,6,7
445,2,8,2
446,3,11,7
447,3,3,1
448,3,8,7
449,4,3,0
450,2,9,8
451,5,5,6
452,1,2,0
453,7,8,2
454,7,12,3
455,6,13,10
456,1,2,0
457,8,9,6
458,1,3,0
459,1,2,1
460,8,11,3
461,1,3,0
462,7,8,1
463,6,7,2
464,7,4,3
465,2,2,1
466,2,3,0
467,6,2,2
468,4,5,2
469,5,4,9
470,5,13,10
471,3,7,5
472,7,10,2
473,1,3,0
474,4,4,1
475,2,12,5
476,6,5,1
477,3,13,5
478,2,3,6
479,9,6,4
480,5,11,3
481,2,3,0
482,4,4,9
483,6,11,7
484,4,13,3
485,1,2,1
486,1,3,0
487,4,3,1
488,4,12,3
489,1,3,0
490,10,12,4
491,5,8,10
492,3,11,7
493,2,4,1
494,5,12,2
495,4,3,2
496,6,12,4
497,6,5,2
498,5,7,6
499,6,5,2
500,5,9,7
501,3,3,1
502,1,3,0
503,4,7,5
504,6,10,3
505,2,3,0
506,2,6,4
507,5,6,1
508,2,9,4
509,2,3,2
510,1,3,0
511,4,10,5
512,4,6,4
513,4,4,8
514,4,8,1
515,4,8,3
516,4,5,7
517,8,6,2
518,3,5,2
519,2,3,0
520,6,5,1
521,2,3,1
522,8,4,3
523,2,7,1
524,3,3,0
525,3,3,0
526,4,4,1
527,4,3,5
528,7,6,6
529,4,8,6
530,2,4,0
531,3,4,6
532,3,4,0
533,3,2,1
534,1,3,0
535,1,3,1
536,3,2,1
537,6,8,2
538,3,2,2
539,3,13,8
540,4,5,1
541,6,11,2
542,5,7,6
543,2,4,0
544,5,4,10
545,2,4,0
546,6,7,6
547,8,13,3
548,6,12,3
549,3,7,2
550,3,5,2
551,4,9,2
552,1,2,0
553,1,2,0
554,1,2,0
555,5,5,1
556,1,3,0
557,4,3,1
558,5,5,1
559,2,3,0
560,6,8,4
561,4,3,1
562,3,3,0
563,2,4,0
564,4,4,2
565,3,6,1
566,7,5,1
567,1,3,0
568,2,3,1
569,2,3,0
570,2,4,1
571,5,5,11
572,4,10,4
573,7,7,1
574,1,3,1
575,2,2,1
576,5,5,11
577,3,9,7
578,1,3,0
579,3,7,4
580,3,2,1
581,2,3,0
582,1,3,0
583,2,3,1
584,3,4,0
585,1,3,0
586,5,12,3
587,3,9,4
588,5,10,2
589,3,3,1
590,5,2,1
591,1,3,1
592,1,3,0
593,1,3,0
594,6,7,4
595,3,6,1
596,3,7,1
597,1,3,0
598,2,3,0
599,6,13,3
600,6,5,2
601,1,3,0
602,0,1,0
603,1,3,0
604,1,9,2
605,6,7,1
606,2,2,1
607,4,6,3
608,1,3,0
609,6,6,8
610,2,3,0
611,8,7,4
612,11,5,11
613,3,3,0
614,4,4,1
615,7,13,3
616,3,6,4
617,6,12,3
618,2,3,1
619,6,7,7
620,1,2,0
621,9,11,11
622,4,7,2
623,8,9,4
624,6,8,2
625,4,13,5
626,5,6,9
627,9,6,4
628,5,4,4
629,4,6,2
630,3,6,1
631,9,13,8
632,3,6,1
633,7,12,6
634,7,7,1
635,4,9,6
636,1,3,0
637,9,12,6
638,1,4,1
639,7,5,1
640,0,0,0
641,3,4,1
642,3,5,1
643,9,13,3
644,3,3,2
645,7,9,2
646,0,3,0
647,6,13,4
648,2,3,0
649,1,3,0
650,1,2,1
651,1,2,0
652,2,3,0
653,1,3,0
654,3,5,1
655,7,10,8
656,5,9,2
657,4,6,3
658,6,8,4
659,2,8,4
660,1,2,0
661,10,5,3
662,2,12,2
663,4,3,1
664,3,13,3
665,8,4,9
666,11,13,5
667,8,5,1
668,3,6,1
669,2,6,8
670,5,11,2
671,5,10,6
672,0,1,28
673,3,12,5
674,4,4,6
675,4,7,5
676,5,4,3
677,1,4,4
678,1,3,0
679,2,2,2
680,2,4,1
681,1,2,0
682,2,3,0
683,8,6,4
684,10,10,7
685,9,5,3
686,8,8,2
687,5,11,2
688,3,7,4
689,4,4,1
690,8,8,4
691,1,3,1
692,9,6,3
693,2,5,4
694,1,2,1
695,1,2,0
696,7,10,5
697,2,3,1
698,5,8,4
699,4,5,1
700,3,5,2
701,5,8,3
702,2,3,0
703,11,9,5
704,1,2,0
705,5,5,4
706,11,8,1
707,1,3,0
708,5,4,6
709,4,2,1
710,2,3,0
711,6,12,5
712,3,11,8
713,6,5,3
714,11,8,6
715,0,3,0
716,7,6,2
717,4,10,2
718,6,4,1
719,4,4,3
720,4,13,8
721,8,4,5
722,4,7,1
723,1,2,0
724,7,6,5
725,6,11,9
726,3,3,0
727,2,3,1
728,3,4,0
729,6,5,9
730,4,11,4
731,2,4,0
732,3,12,8
733,1,2,0
734,10,7,10
735,6,5,10
736,3,10,2
737,6,13,4
738,8,11,5
739,8,6,6
740,7,13,3
741,7,5,6
742,3,8,4
743,2,3,1
744,3,2,2
745,3,3,0
746,8,8,1
747,6,10,4
748,2,2,1
749,2,5,11
750,3,4,2
751,3,7,6
752,11,12,5
753,2,4,1
754,6,7,1
755,5,12,2
756,8,6,5
757,7,7,3
758,2,4,0
759,0,1,0
760,1,2,0
761,2,3,1
762,2,4,11
763,1,3,0
764,6,5,9
765,4,10,4
766,1,3,0
767,1,2,1
768,1,2,0
769,1,3,0
770,2,3,0
771,3,4,0
772,6,4,8
773,7,8,1
774,7,5,1
775,3,4,6
776,5,7,4
777,2,3,0
778,3,5,3
779,1,5,1
780,4,7,1
781,10,7,3
782,11,8,4
783,6,12,5
784,4,3,0
785,4,9,4
786,1,3,0
787,2,4,1
788,6,13,8
789,2,12,8
790,7,7,1
791,1,3,1
792,3,6,4
793,3,8,2
794,5,6,9
795,1,2,1
796,2,3,0
797,5,6,4
798,5,9,7
799,5,12,5
800,5,7,4
801,1,2,0
802,10,4,2
803,9,9,2
804,2,3,0
805,5,8,4
806,2,3,0
807,7,7,3
808,3,2,2
809,5,4,10
810,10,11,2
811,3,7,4
812,1,3,0
813,8,4,9
814,1,3,0
815,2,3,0
816,6,7,4
817,7,7,3
818,2,3,0
819,1,3,0
820,6,12,5
821,6,5,1
822,7,12,7
823,1,3,0
824,7,5,6
825,2,3,1
826,3,6,2
827,3,4,0
828,4,3,0
829,3,7,6
830,5,7,6
831,3,8,6
832,7,8,5
833,3,5,1
834,3,3,1
835,5,3,3
836,6,9,2
837,7,10,7
838,1,2,1
839,7,7,1
840,10,12,2
841,1,3,0
842,6,11,2
843,1,3,0
844,6,10,9
845,2,3,0
846,6,4,1
847,0,3,0
848,4,6,1
849,6,4,1
850,4,8,2
851,5,8,1
852,1,2,0
853,2,8,3
854,2,3,0
855,5,4,7
856,5,4,5
857,4,3,0
858,3,4,1
859,5,10,7
860,4,5,8
861,6,4,6
862,3,4,0
863,6,12,9
864,3,3,1
865,3,2,1
866,2,3,0
867,0,3,0
868,2,3,0
869,5,10,6
870,3,13,2
871,6,4,1
872,2,3,0
873,9,5,2
874,2,10,6
875,2,3,0
876,5,5,2
877,3,11,10
878,1,2,0
879,7,5,10
880,8,5,10
881,6,4,9
882,10,7,6
883,4,8,2
884,4,3,0
885,4,10,3
886,4,4,1
887,4,6,5
888,3,6,3
889,4,6,1
890,3,10,4
891,7,7,4
892,1,2,0
893,2,3,0
894,2,6,1
895,3,8,10
896,3,5,10
897,10,10,5
898,3,4,1
899,7,7,3
900,3,6,4
901,3,7,4
902,7,6,6
903,3,7,2
904,6,9,9
905,1,3,0
906,2,6,10
907,2,4,0
908,1,4,1
909,11,10,4
910,6,6,1
911,4,9,5
912,4,10,4
913,5,6,4
914,6,5,9
915,6,9,4
916,1,4,1
917,11,10,2
918,1,3,0
919,2,5,11
920,3,3,0
921,9,4,3
922,11,11,5
923,7,11,5
924,8,9,4
925,6,5,3
926,7,7,4
927,3,6,2
928,5,5,8
929,2,3,1
930,4,10,4
931,4,9,4
932,4,5,2
933,2,3,0
934,3,9,2
935,2,3,0
936,2,3,1
937,3,4,1
938,3,2,1
939,1,2,1
940,3,4,0
941,5,6,2
942,5,8,5
943,2,4,0
944,5,5,2
945,4,13,7
946,6,8,3
947,2,3,0
948,2,5,1
949,3,6,1
950,5,11,2
951,6,9,7
952,3,4,0
953,1,2,0
954,10,6,2
955,3,10,4
956,3,4,0
957,3,4,0
958,7,7,1
959,4,13,6
960,2,13,8
961,2,12,4
962,6,5,3
963,2,4,0
964,10,7,6
965,0,2,1
966,0,0,0
967,2,3,0
968,11,9,6
969,5,6,11
970,4,8,2
971,5,7,6
972,9,9,7
973,4,13,9
974,2,3,0
975,2,10,4
976,0,3,0
977,10,6,1
978,5,12,3
979,1,4,1
980,1,2,0
981,8,10,4
982,2,3,1
983,8,6,8
984,3,8,1
985,6,9,4
986,4,4,3
987,8,4,5
988,2,3,0
989,5,4,2
990,3,4,8
991,6,10,5
992,4,11,4
993,3,2,1
994,1,2,0
995,10,8,2
996,1,5,1
997,6,4,1
998,3,3,0
999,2,4,0
1000,4,8,2
1001,6,7,6
1002,2,7,1
1003,1,3,0
1004,2,4,1
1005,3,3,1
1006,2,3,0
1007,11,4,3
1008,1,3,1
1009,2,2,1
1010,5,9,4
1011,2,2,2
1012,2,2,1
1013,1,3,0
1014,10,10,7
1015,8,5,8
1016,8,5,6
1017,4,7,4
1018,1,3,0
1019,5,7,6
1020,5,5,1
1021,3,4,0
1022,2,4,0
1023,1,2,2
1024,6,8,3
1025,5,6,5
1026,2,3,0
1027,0,0,1
1028,4,4,5
1029,1,2,1
1030,2,4,1
1031,2,4,0
1032,7,12,7
1033,6,5,1
1034,6,11,2
1035,6,7,6
1036,1,2,0
1037,7,9,8
1038,1,2,2
1039,1,3,0
1040,3,12,5
1041,6,4,1
1042,5,5,1
1043,6,8,7
1044,2,6,8
1045,3,10,4
1046,7,11,6
1047,5,11,2
1048,1,2,1
1049,4,8,4
1050,1,3,1
1051,4,8,10
1052,8,8,9
1053,1,2,0
1054,3,13,7
1055,3,3,0
1056,5,8,6
1057,9,9,2
1058,2,3,0
1059,6,6,1
1060,4,9,7
1061,6,11,7
1062,1,3,0
1063,4,8,1
1064,1,2,0
1065,4,5,3
1066,7,4,2
1067,5,4,6
1068,0,3,0
1069,5,6,8
1070,11,5,6
1071,1,3,0
1072,9,4,9
1073,1,2,0
1074,4,5,7
1075,6,7,6
1076,2,4,1
1077,4,7,5
1078,3,3,0
1079,2,4,1
1080,4,8,2
1081,4,5,3
1082,3,8,3
1083,1,2,0
1084,5,10,8
1085,4,6,7
1086,4,7,1
1087,7,5,2
1088,4,6,1
1089,2,3,0
1090,4,11,5
1091,2,3,0
1092,2,4,0
1093,6,9,2
1094,4,7,1
1095,2,11,2
1096,8,5,2
1097,1,2,0
1098,4,9,6
1099,3,3,0
1100,3,5,3
1101,1,2,1
1102,3,3,5
1103,2,2,1
1104,11,6,1
1105,6,9,5
1106,2,4,1
1107,4,5,2
1108,2,4,1
1109,6,5,1
1110,6,5,2
1111,5,6,3
1112,1,3,1
1113,0,3,0
1114,7,11,6
1115,2,9,2
1116,1,2,0
1117,1,3,0
1118,6,9,7
1119,7,8,5
1120,5,6,1
1121,3,3,0
1122,4,9,6
1123,3,3,0
1124,6,4,2
1125,6,10,2
1126,2,4,0
1127,2,2,1
1128,2,4,0
1129,6,13,5
1130,2,4,1
1131,3,3,1
1132,9,8,2
1133,9,4,1
1134,1,2,0
1135,9,13,3
1136,10,7,4
1137,1,2,0
1138,5,11,9
1139,1,6,3
1140,2,3,1
1141,5,9,2
1142,7,4,3
1143,3,5,2
1144,7,10,6
1145,4,6,1
1146,9,8,2
1147,8,7,1
1148,6,10,4
1149,4,5,1
1150,4,12,2
1151,1,3,1
1152,2,4,0
1153,4,8,4
1154,3,8,4
1155,1,2,0
1156,1,3,0
1157,8,5,2
1158,8,4,2
1159,2,3,0
1160,2,6,2
1161,1,2,0
1162,3,10,2
1163,2,4,0
1164,3,10,4
1165,8,6,2
1166,4,5,1
1167,9,4,5
1168,2,3,2
1169,1,2,0
1170,1,3,0
1171,1,4,0
1172,6,13,6
1173,3,4,1
1174,1,3,0
1175,5,4,6
1176,7,10,4
1177,1,2,2
1178,4,4,0
1179,2,4,1
1180,9,9,3
1181,2,4,1
1182,5,10,2
1183,3,5,5
1184,6,12,6
1185,2,5,1
1186,9,8,2
1187,3,4,2
1188,1,2,1
1189,3,9,4
1190,10,5,4
1191,6,10,9
1192,2,3,0
1193,1,2,1
1194,3,4,0
1195,5,7,1
1196,2,10,4
1197,7,11,11
1198,5,6,9
1199,4,5,1
1200,2,4,1
1201,4,10,2
1202,3,4,1
1203,4,10,9
1204,2,2,2
1205,3,3,1
1206,1,2,0
1207,5,9,7
1208,2,2,1
1209,2,4,1
1210,5,9,4
1211,11,8,2
1212,2,2,1
1213,4,8,1
1214,3,3,0
1215,5,4,0
1216,1,3,0
1217,3,4,0
1218,2,3,0
1219,1,3,0
1220,8,11,2
1221,2,4,1
1222,5,12,6
1223,1,3,0
1224,2,5,1
1225,1,3,0
1226,2,3,0
1227,5,7,10
1228,1,5,3
1229,6,4,2
1230,0,0,0
1231,3,2,2
1232,0,2,1
1233,1,2,0
1234,8,13,3
1235,4,6,2
1236,6,13,5
1237,11,11,10
1238,7,5,3
1239,8,4,9
1240,7,5,2
1241,7,3,4
1242,4,11,2
1243,1,2,0
1244,4,11,7
1245,1,2,1
1246,6,8,2
1247,7,11,8
1248,2,3,0
1249,2,2,1
1250,4,6,7
1251,9,6,4
1252,2,3,1
1253,4,4,1
1254,6,6,6
1255,7,4,3
1256,5,13,3
1257,5,4,1
1258,9,7,1
1259,2,3,1
1260,3,11,4
1261,1,2,0
1262,3,3,0
1263,6,9,7
1264,5,7,1
1265,4,8,6
1266,9,10,7
1267,1,3,0
1268,7,7,1
1269,4,5,2
1270,1,3,0
1271,9,5,2
1272,1,2,2
1273,5,10,7
1274,7,10,2
1275,1,2,0
1276,2,2,0
1277,2,4,0
1278,1,2,0
1279,1,4,0
1280,2,5,1
1281,2,2,0
1282,7,11,2
1283,4,4,6
1284,2,3,1
1285,1,1,0
1286,5,5,8
1287,2,3,0
1288,5,4,2
1289,5,8,5
1290,10,8,3
1291,7,5,1
1292,5,12,5
1293,10,13,4
1294,11,12,2
1295,5,10,4
1296,7,10,5
1297,6,5,1
1298,4,10,7
1299,3,7,1
1300,3,3,0
1301,3,8,2
1302,1,3,0
1303,3,3,0
1304,1,2,1
1305,5,12,9
1306,6,5,1
1307,5,12,7
1308,7,3,2
1309,3,3,0
1310,6,13,3
1311,3,3,0
1312,3,4,1
1313,1,1,0
1314,8,5,3
1315,2,2,2
1316,6,5,1
1317,7,7,4
1318,4,13,9
1319,6,8,5
1320,5,4,2
1321,2,6,8
1322,3,3,1
1323,1,3,0
1324,7,3,1
1325,5,6,1
1326,5,6,2
1327,3,10,4
1328,1,4,0
1329,1,2,0
1330,2,3,1
1331,1,3,0
1332,5,7,2
1333,10,7,4
1334,4,9,6
1335,4,10,8
1336,6,4,6
1337,0,2,1
1338,4,5,1
1339,6,7,6
1340,8,11,2
1341,3,2,1
1342,6,10,2
1343,5,5,8
1344,2,4,1
1345,8,6,2
1346,2,2,1
1347,6,7,1
1348,8,11,7
1349,2,7,2
1350,6,6,3
1351,6,5,3
1352,1,3,0
1353,4,4,1
1354,3,5,2
1355,4,5,1
1356,2,4,0
1357,1,3,0
1358,4,7,5
1359,8,11,4
1360,7,4,2
1361,4,8,2
1362,2,2,1
1363,5,6,1
1364,4,3,2
1365,3,4,1
1366,2,3,0
1367,5,5,10
1368,1,3,0
1369,1,3,0
1370,8,6,6
1371,4,3,4
1372,2,4,1
1373,1,3,0
1374,1,2,1
1375,2,3,0
1376,6,12,3
1377,1,2,0
1378,2,3,1
1379,9,9,3
1380,6,4,2
1381,5,5,1
1382,9,9,2
1383,4,3,1
1384,5,4,2
1385,8,8,4
1386,3,4,0
1387,6,5,1
1388,7,8,5
1389,4,9,2
1390,3,2,2
1391,7,12,2
1392,5,6,3
1393,1,2,0
1394,5,5,10
1395,5,3,0
1396,4,8,3
1397,2,2,1
1398,2,5,2
1399,2,3,0
1400,2,4,0
1401,1,2,0
1402,2,10,10
1403,4,12,3
1404,1,3,0
1405,1,2,1
1406,2,4,0
1407,1,2,0
1408,1,2,0
1409,2,3,0
1410,6,6,1
1411,1,3,0
1412,1,3,0
1413,6,11,5
1414,2,3,0
1415,6,5,1
1416,1,2,1
1417,5,5,1
1418,0,2,1
1419,1,4,1
1420,3,4,0
1421,2,3,1
1422,1,2,0
1423,3,3,0
1424,3,10,7
1425,7,10,5
1426,2,8,2
1427,4,9,4
1428,10,5,7
1429,4,8,4
1430,4,5,4
1431,3,4,2
1432,3,9,4
1433,3,8,11
1434,2,3,0
1435,7,5,3
1436,4,7,4
1437,4,4,0
1438,2,4,0
1439,6,12,7
1440,5,9,2
1441,7,7,3
1442,4,8,6
1443,1,3,0
1444,3,3,0
1445,1,3,0
1446,2,5,11
1447,8,8,1
1448,4,11,4
1449,0,3,0
1450,9,8,4
1451,1,3,1
1452,4,3,1
1453,1,3,0
1454,8,4,5
1455,6,7,6
1456,3,4,0
1457,7,10,5
1458,2,3,1
1459,3,4,2
1460,7,13,5
1461,10,12,2
1462,5,12,3
1463,1,3,0
1464,1,3,0
1465,7,6,3
1466,6,13,3
1467,4,4,6
1468,8,5,2
1469,11,8,8
1470,6,5,2
1471,7,9,4
1472,6,4,1
1473,7,10,11
1474,7,9,2
1475,2,4,0
1476,4,13,7
1477,2,3,0
1478,4,9,2
1479,9,7,5
1480,9,13,7
1481,4,5,3
1482,1,3,0
1483,7,6,1
1484,8,9,2
1485,5,5,10
1486,4,6,3
1487,5,10,2
1488,11,5,8
1489,2,13,8
1490,5,12,5
1491,3,10,4
1492,3,2,2
1493,10,9,4
1494,4,9,8
1495,3,2,1
1496,4,4,2
1497,10,8,3
1498,2,4,0
1499,3,3,0
1500,2,3,0
1501,10,6,2
1502,4,12,5
1503,2,3,1
1504,2,3,0
1505,0,0,0
1506,7,9,4
1507,4,7,6
1508,2,2,2
1509,4,4,6
1510,1,3,1
1511,6,13,3
1512,5,5,1
1513,7,13,3
1514,3,2,2
1515,3,3,0
1516,5,5,1
1517,1,2,1
1518,3,6,6
1519,3,9,4
1520,11,12,2
1521,3,4,0
1522,9,12,2
1523,5,10,4
1524,0,3,0
1525,9,10,2
1526,3,3,0
1527,2,3,0
1528,4,3,0
1529,8,7,3
1530,0,3,0
1531,1,4,1
1532,4,7,4
1533,6,6,4
1534,4,4,5
1535,9,12,6
1536,1,3,0
1537,4,4,2
1538,1,2,0
1539,2,4,1
1540,7,13,3
1541,3,4,0
1542,7,7,1
1543,1,2,0
1544,5,5,10
1545,3,3,0
1546,6,5,3
1547,5,10,4
1548,5,12,4
1549,11,6,1
1550,6,5,3
1551,7,12,6
1552,2,3,0
1553,3,10,4
1554,1,3,0
1555,7,6,1
1556,5,5,1
1557,3,3,1
1558,4,8,5
1559,2,4,1
1560,7,7,2
1561,1,2,0
1562,4,5,7
1563,5,6,3
1564,2,3,1
1565,3,13,10
1566,1,2,1
1567,3,4,1
1568,3,6,2
1569,3,5,2
1570,7,12,5
1571,3,4,1
1572,4,5,3
1573,2,2,0
1574,6,5,1
1575,2,4,0
1576,7,6,1
1577,3,4,0
1578,7,4,1
1579,2,13,5
1580,1,3,1
1581,8,3,5
1582,4,12,7
1583,4,10,5
1584,1,3,0
1585,2,3,0
1586,2,2,0
1587,5,11,5
1588,10,4,5
1589,7,5,2
1590,4,8,4
1591,4,11,5
1592,2,3,0
1593,6,9,3
1594,5,5,1
1595,1,2,1
1596,5,13,3
1597,1,2,0
1598,3,7,2
1599,4,5,1
1600,9,9,6
1601,3,4,0
1602,2,4,0
1603,5,6,7
1604,8,6,1
1605,3,5,1
1606,5,4,1
1607,3,10,2
1608,6,8,2
1609,4,2,1
1610,3,3,0
1611,9,13,3
1612,4,5,1
1613,2,4,1
1614,1,2,0
1615,4,4,6
1616,11,7,2
1617,8,7,2
1618,3,12,6
1619,2,3,0
1620,1,3,0
1621,1,3,0
1622,2,6,5
1623,9,7,1
1624,1,3,0
1625,7,8,5
1626,0,3,0
1627,6,6,2
1628,5,12,3
1629,7,7,5
1630,2,4,1
1631,2,3,1
1632,3,12,6
1633,3,2,1
1634,0,0,28
1635,1,3,0
1636,2,3,0
1637,5,5,2
1638,5,13,3
1639,7,6,4
1640,4,6,6
1641,6,7,2
1642,5,3,1
1643,6,12,4
1644,3,2,1
1645,1,3,1
1646,2,3,0
1647,6,12,3
1648,1,4,1
1649,7,13,3
1650,11,11,10
1651,4,5,2
1652,5,6,6
1653,7,10,4
1654,6,6,8
1655,8,13,9
1656,1,4,1
1657,5,4,1
1658,1,3,0
1659,5,8,1
1660,2,3,0
1661,5,7,10
1662,3,3,1
1663,2,4,0
