age,job,marital,education,balance,housing,loan,default,campaign,pdays,previous,poutcome,conversion
56,technician,divorced,unknown,56,1,0,0,1,999,0,unknown,0
51,blue-collar,married,secondary,26,1,0,0,1,999,0,unknown,0
34,admin.,married,unknown,3,1,0,0,3,999,0,unknown,0
43,services,married,secondary,41,1,1,0,2,999,0,unknown,0
52,technician,married,tertiary,7,0,1,0,1,999,0,unknown,0
33,technician,single,secondary,105,1,0,0,2,999,0,unknown,0
29,admin.,single,secondary,818,1,1,0,1,999,0,unknown,0
34,services,married,secondary,-16,1,1,0,1,999,0,unknown,0
31,blue-collar,married,secondary,0,1,0,0,1,999,0,unknown,0
55,services,married,secondary,2476,1,0,0,1,999,0,unknown,1
55,management,married,unknown,1185,0,0,0,1,999,0,unknown,0
32,admin.,single,secondary,217,1,0,0,1,999,0,unknown,0
38,technician,single,secondary,1685,1,0,0,1,999,0,unknown,0
55,admin.,single,secondary,802,1,1,0,2,999,0,unknown,0
28,unemployed,single,tertiary,0,1,0,0,2,999,0,unknown,0
23,blue-collar,married,secondary,94,1,0,0,1,999,0,unknown,0
32,technician,single,secondary,0,1,0,0,1,999,0,unknown,0
43,services,single,unknown,0,0,0,0,1,999,0,unknown,0
32,blue-collar,married,secondary,517,1,0,0,1,999,0,unknown,0
46,blue-collar,married,secondary,265,1,0,0,1,999,0,unknown,0
53,housemaid,divorced,primary,947,1,0,0,1,999,0,unknown,0
34,self-employed,single,secondary,3,1,0,0,1,999,0,unknown,0
57,unemployed,married,tertiary,42,0,0,0,1,999,0,unknown,0
37,blue-collar,married,secondary,37,1,0,0,1,999,0,unknown,0
59,blue-collar,married,secondary,57,1,0,0,1,999,0,unknown,0
33,services,married,secondary,22,1,0,0,1,999,0,unknown,0
56,blue-collar,divorced,primary,8,1,0,0,2,999,0,unknown,0
48,unemployed,married,secondary,293,1,0,0,1,999,0,unknown,0
43,services,married,primary,3,1,0,0,2,999,0,unknown,0
54,blue-collar,married,primary,348,1,0,0,2,999,0,unknown,0
51,blue-collar,married,unknown,-19,1,0,0,2,999,0,unknown,0
26,student,single,secondary,0,1,0,0,2,999,0,unknown,0
40,management,married,tertiary,-4,1,0,0,1,999,0,unknown,0
39,management,married,secondary,18,1,0,0,1,999,0,unknown,0
50,technician,married,primary,139,0,0,0,2,999,0,unknown,0
41,services,married,secondary,0,1,0,0,2,999,0,unknown,0
51,blue-collar,married,unknown,1883,1,0,0,1,999,0,unknown,0
60,retired,divorced,secondary,216,1,0,0,1,999,0,unknown,0
52,blue-collar,married,secondary,782,1,0,0,3,999,0,unknown,0
48,blue-collar,married,secondary,904,1,0,0,2,999,0,unknown,0
48,services,married,unknown,1705,1,0,0,1,999,0,unknown,0
39,technician,single,tertiary,47,1,0,0,1,999,0,unknown,0
47,services,single,secondary,176,1,0,0,2,999,0,unknown,0
40,blue-collar,married,secondary,1225,1,0,0,5,999,0,unknown,0
45,technician,married,secondary,86,1,0,0,1,999,0,unknown,0
26,admin.,single,secondary,82,1,0,0,1,999,0,unknown,0
52,management,married,tertiary,271,1,0,0,1,999,0,unknown,0
54,technician,married,secondary,1378,1,0,0,1,999,0,unknown,0
54,admin.,married,tertiary,184,0,0,0,2,999,0,unknown,1
50,blue-collar,married,primary,0,0,0,0,3,999,0,unknown,0
35,blue-collar,married,secondary,0,1,0,0,1,999,0,unknown,0
44,services,married,secondary,1357,1,1,0,1,999,0,unknown,0
53,entrepreneur,married,unknown,19,1,0,0,1,999,0,unknown,0
35,retired,single,primary,434,0,0,0,1,999,0,unknown,0
60,admin.,divorced,secondary,92,1,0,0,1,999,0,unknown,0
53,admin.,divorced,secondary,1151,1,0,0,1,999,0,unknown,0
48,unemployed,married,secondary,41,1,0,0,2,999,0,unknown,0
34,technician,married,secondary,51,1,0,0,2,999,0,unknown,0
54,services,married,secondary,214,1,0,0,2,999,0,unknown,0
51,management,married,secondary,1161,1,0,0,1,999,0,unknown,0
31,services,married,tertiary,37,1,0,0,1,999,0,unknown,0
35,technician,divorced,secondary,787,1,0,0,2,999,0,unknown,0
35,services,married,secondary,59,1,0,0,1,999,0,unknown,0
38,technician,married,secondary,253,1,0,0,1,999,0,unknown,0
36,admin.,married,tertiary,211,1,0,0,2,999,0,unknown,0
58,retired,married,primary,235,1,0,0,1,999,0,unknown,0
40,services,divorced,unknown,4384,1,0,0,1,999,0,unknown,0
54,management,married,secondary,4080,0,0,0,1,999,0,unknown,0
34,blue-collar,single,secondary,53,1,1,0,1,999,0,unknown,0
31,management,single,tertiary,0,1,0,0,1,999,0,unknown,0
51,retired,married,secondary,2127,1,0,0,1,999,0,unknown,0
33,management,married,tertiary,377,1,0,0,1,999,0,unknown,0
55,management,married,tertiary,73,1,0,0,2,999,0,unknown,0
42,admin.,married,secondary,445,1,0,0,1,999,0,unknown,0
34,blue-collar,married,secondary,243,1,0,0,1,999,0,unknown,0
33,blue-collar,single,secondary,307,1,0,0,2,999,0,unknown,0
38,services,married,secondary,155,1,0,0,1,999,0,unknown,0
50,technician,divorced,tertiary,173,0,1,0,1,999,0,unknown,0
43,management,married,tertiary,400,1,0,0,1,999,0,unknown,0
61,blue-collar,divorced,primary,1428,1,0,0,2,999,0,unknown,0
47,admin.,married,secondary,219,1,0,0,1,999,0,unknown,0
48,self-employed,married,tertiary,7,1,0,0,1,999,0,unknown,0
44,blue-collar,married,secondary,575,1,0,0,1,999,0,unknown,0
35,student,single,unknown,298,1,0,0,2,999,0,unknown,0
35,services,married,secondary,0,1,0,0,1,999,0,unknown,0
50,services,married,secondary,5699,1,0,0,2,999,0,unknown,0
41,management,married,tertiary,176,1,1,0,1,999,0,unknown,0
41,management,married,tertiary,517,1,0,0,1,999,0,unknown,0
39,services,single,unknown,257,1,0,0,1,999,0,unknown,0
42,retired,married,secondary,56,1,0,0,1,999,0,unknown,0
38,blue-collar,married,secondary,-390,1,0,0,1,999,0,unknown,0
53,retired,married,secondary,330,1,0,0,2,999,0,unknown,0
59,housemaid,divorced,primary,195,0,0,0,2,999,0,unknown,0
36,services,married,secondary,301,1,0,0,1,999,0,unknown,0
54,blue-collar,married,primary,-41,1,0,0,1,999,0,unknown,0
40,technician,married,tertiary,483,1,0,0,1,999,0,unknown,0
47,unknown,married,unknown,28,0,0,0,2,999,0,unknown,0
53,unemployed,married,unknown,13,0,0,0,3,999,0,unknown,0
46,housemaid,married,primary,965,0,0,0,1,999,0,unknown,0
39,management,married,tertiary,378,1,1,0,2,999,0,unknown,0
40,unemployed,married,secondary,219,1,0,0,1,999,0,unknown,0
28,blue-collar,married,primary,324,1,0,0,1,999,0,unknown,0
35,entrepreneur,divorced,secondary,-69,1,0,0,1,999,0,unknown,0
55,retired,married,secondary,0,0,1,0,1,999,0,unknown,0
43,technician,divorced,unknown,205,1,0,0,1,999,0,unknown,0
48,blue-collar,married,primary,278,1,0,0,2,999,0,unknown,0
58,management,married,unknown,1065,1,0,0,3,999,0,unknown,0
33,management,single,tertiary,34,1,0,0,1,999,0,unknown,0
36,blue-collar,married,unknown,1033,0,0,0,2,999,0,unknown,0
53,services,divorced,secondary,1467,1,0,0,1,999,0,unknown,0
47,blue-collar,married,primary,-12,1,0,0,1,999,0,unknown,0
31,services,married,secondary,388,1,0,0,2,999,0,unknown,0
57,entrepreneur,married,secondary,294,1,0,0,2,999,0,unknown,0
53,blue-collar,married,unknown,1827,0,0,0,1,999,0,unknown,0
55,blue-collar,married,primary,627,1,0,0,1,999,0,unknown,0
45,blue-collar,married,primary,25,1,0,0,1,999,0,unknown,0
53,admin.,divorced,secondary,315,1,0,0,2,999,0,unknown,0
37,blue-collar,married,primary,0,1,0,0,1,999,0,unknown,0
44,admin.,divorced,secondary,66,1,0,0,1,999,0,unknown,0
49,blue-collar,divorced,primary,-9,1,1,0,1,999,0,unknown,0
46,technician,married,secondary,349,1,1,0,1,999,0,unknown,0
43,entrepreneur,married,unknown,100,1,0,0,1,999,0,unknown,0
38,admin.,married,secondary,0,0,0,0,1,999,0,unknown,0
43,technician,married,secondary,434,1,0,0,1,999,0,unknown,0
49,management,married,tertiary,3237,1,0,0,3,999,0,unknown,0
42,management,married,unknown,275,0,0,0,2,999,0,unknown,0
22,blue-collar,single,secondary,0,1,0,0,2,999,0,unknown,0
40,management,married,tertiary,207,1,0,0,1,999,0,unknown,0
39,blue-collar,married,secondary,483,1,0,0,1,999,0,unknown,0
51,services,married,secondary,2248,1,0,0,2,999,0,unknown,0
49,admin.,married,secondary,428,1,0,0,1,999,0,unknown,0
53,blue-collar,married,secondary,0,1,1,0,1,999,0,unknown,0
34,services,single,secondary,0,1,0,0,1,999,0,unknown,0
33,technician,divorced,secondary,140,1,0,0,1,999,0,unknown,0
50,management,single,tertiary,297,1,0,0,1,999,0,unknown,0
39,blue-collar,married,primary,279,1,0,0,1,999,0,unknown,0
59,entrepreneur,divorced,secondary,901,1,0,0,3,999,0,unknown,0
30,technician,single,secondary,2573,1,0,0,2,999,0,unknown,0
36,services,married,secondary,143,1,1,0,1,999,0,unknown,0
40,blue-collar,married,secondary,475,1,0,0,2,999,0,unknown,0
53,blue-collar,married,secondary,70,1,0,0,2,999,0,unknown,0
34,management,single,tertiary,318,1,0,0,2,999,0,unknown,0
37,technician,married,secondary,275,1,0,0,1,999,0,unknown,0
42,management,divorced,tertiary,742,1,0,0,3,999,0,unknown,0
41,entrepreneur,married,primary,236,1,0,0,1,999,0,unknown,0
30,student,single,tertiary,25,1,0,0,2,999,0,unknown,0
37,management,single,tertiary,600,1,0,0,1,999,0,unknown,0
39,admin.,divorced,secondary,-349,1,0,0,2,999,0,unknown,0
41,blue-collar,married,primary,183,1,1,0,2,999,0,unknown,0
40,blue-collar,married,primary,0,1,0,0,1,999,0,unknown,0
42,management,single,tertiary,0,1,1,0,2,999,0,unknown,1
40,blue-collar,divorced,primary,0,1,0,0,1,999,0,unknown,0
57,technician,married,secondary,1078,1,0,0,4,999,0,unknown,0
56,entrepreneur,divorced,secondary,155,0,0,0,3,999,0,unknown,0
37,admin.,married,secondary,190,1,0,0,2,999,0,unknown,0
59,retired,married,secondary,319,1,0,0,3,999,0,unknown,0
39,services,divorced,secondary,-185,1,0,0,3,999,0,unknown,0
49,services,married,secondary,47,0,0,0,2,999,0,unknown,0
38,services,single,secondary,570,1,0,0,2,999,0,unknown,0
36,self-employed,married,tertiary,19,0,0,0,2,999,0,unknown,0
50,blue-collar,married,primary,61,1,0,0,3,999,0,unknown,0
41,admin.,married,secondary,-62,1,1,0,2,999,0,unknown,0
54,technician,married,tertiary,258,0,0,0,4,999,0,unknown,0
58,blue-collar,married,primary,76,1,0,0,2,999,0,unknown,0
30,blue-collar,single,secondary,0,1,0,0,2,999,0,unknown,0
33,admin.,single,secondary,352,1,0,0,2,999,0,unknown,0
47,admin.,married,secondary,368,1,0,0,2,999,0,unknown,0
50,technician,single,tertiary,339,1,0,0,3,999,0,unknown,0
32,blue-collar,married,secondary,1331,1,0,0,2,999,0,unknown,0
40,self-employed,married,secondary,672,1,0,0,2,999,0,unknown,0
37,management,married,tertiary,58,1,0,0,2,999,0,unknown,0
54,technician,single,unknown,447,1,0,0,2,999,0,unknown,0
24,student,single,secondary,423,1,0,0,3,999,0,unknown,0
54,management,married,tertiary,0,0,0,0,2,999,0,unknown,0
34,technician,married,secondary,19,1,0,0,4,999,0,unknown,0
56,technician,divorced,primary,13,1,0,0,2,999,0,unknown,0
31,blue-collar,single,secondary,3,1,0,0,2,999,0,unknown,0
24,student,single,secondary,82,1,0,0,2,999,0,unknown,0
42,blue-collar,divorced,primary,28,1,0,0,3,999,0,unknown,0
57,technician,married,secondary,792,1,0,0,2,999,0,unknown,0
42,blue-collar,married,unknown,408,1,0,0,2,999,0,unknown,0
51,admin.,married,secondary,531,1,0,0,2,999,0,unknown,0
57,retired,married,secondary,211,1,0,0,2,999,0,unknown,0
36,services,single,secondary,62,1,0,0,2,999,0,unknown,0
53,services,married,unknown,257,1,0,0,2,999,0,unknown,0
50,technician,married,secondary,1234,1,0,0,2,999,0,unknown,0
54,management,married,tertiary,313,1,0,0,2,999,0,unknown,0
55,blue-collar,married,secondary,89,1,0,0,3,999,0,unknown,0
44,blue-collar,married,secondary,129,1,1,0,2,999,0,unknown,0
43,management,married,unknown,0,1,0,0,2,999,0,unknown,0
56,admin.,married,secondary,353,1,0,0,2,999,0,unknown,0
54,technician,married,unknown,851,1,0,0,2,999,0,unknown,0
55,services,divorced,primary,96,1,1,0,2,999,0,unknown,0
37,services,divorced,secondary,398,1,1,0,2,999,0,unknown,0
33,admin.,single,tertiary,193,0,0,0,2,999,0,unknown,0
46,admin.,married,secondary,-358,1,0,0,2,999,0,unknown,0
36,blue-collar,married,secondary,539,1,1,0,2,999,0,unknown,0
51,technician,single,secondary,0,1,0,0,2,999,0,unknown,0
40,retired,single,primary,0,0,0,0,2,999,0,unknown,0
42,blue-collar,married,secondary,490,1,0,0,2,999,0,unknown,0
51,blue-collar,married,secondary,0,1,0,0,2,999,0,unknown,0
49,blue-collar,married,unknown,403,1,0,0,2,999,0,unknown,0
48,management,married,secondary,161,1,0,0,3,999,0,unknown,0
32,technician,divorced,tertiary,2558,0,0,0,2,999,0,unknown,0
31,admin.,single,secondary,98,1,0,0,2,999,0,unknown,0
55,management,single,tertiary,115,0,0,0,4,999,0,unknown,0
40,blue-collar,single,secondary,436,1,0,0,3,999,0,unknown,0
47,technician,married,tertiary,831,1,0,0,3,999,0,unknown,0
57,technician,married,unknown,206,1,0,0,3,999,0,unknown,0
41,blue-collar,married,secondary,290,1,0,0,2,999,0,unknown,0
48,blue-collar,married,secondary,1,0,0,0,3,999,0,unknown,0
42,blue-collar,married,unknown,57,1,0,0,2,999,0,unknown,0
30,blue-collar,single,secondary,-457,1,0,0,2,999,0,unknown,0
58,management,single,tertiary,1387,1,0,0,5,999,0,unknown,0
45,management,divorced,tertiary,24598,1,0,0,3,999,0,unknown,0
49,blue-collar,married,secondary,30,1,0,0,4,999,0,unknown,0
42,admin.,single,secondary,1022,1,0,0,2,999,0,unknown,0
53,technician,married,secondary,56,1,1,0,2,999,0,unknown,0
51,admin.,single,secondary,-2,0,0,1,3,999,0,unknown,0
32,services,single,secondary,121,1,0,0,2,999,0,unknown,0
41,blue-collar,single,secondary,842,1,0,0,3,999,0,unknown,0
43,management,divorced,secondary,693,1,0,0,3,999,0,unknown,0
40,blue-collar,divorced,secondary,-333,1,0,0,2,999,0,unknown,0
50,blue-collar,married,primary,1533,1,0,0,2,999,0,unknown,0
34,management,married,tertiary,46,1,0,0,4,999,0,unknown,0
53,services,married,unknown,18,0,0,0,2,999,0,unknown,0
45,technician,married,secondary,44,1,0,0,4,999,0,unknown,0
39,blue-collar,married,primary,-100,1,0,0,2,999,0,unknown,0
44,services,married,tertiary,510,1,0,0,4,999,0,unknown,0
55,management,married,tertiary,685,1,0,0,3,999,0,unknown,0
46,management,single,tertiary,187,1,0,0,2,999,0,unknown,0
45,blue-collar,married,secondary,66,1,0,0,2,999,0,unknown,0
34,admin.,married,secondary,560,1,0,0,3,999,0,unknown,0
36,blue-collar,married,secondary,0,1,0,0,2,999,0,unknown,0
59,unknown,divorced,unknown,27,0,0,0,3,999,0,unknown,0
31,admin.,single,secondary,12,1,0,0,2,999,0,unknown,0
44,blue-collar,single,secondary,34,1,0,0,4,999,0,unknown,0
33,entrepreneur,single,tertiary,1068,1,0,0,2,999,0,unknown,0
40,blue-collar,married,secondary,211,1,0,0,4,999,0,unknown,0
46,admin.,single,tertiary,377,1,0,0,2,999,0,unknown,0
48,management,married,tertiary,263,1,0,0,2,999,0,unknown,0
42,services,married,secondary,1263,1,0,0,2,999,0,unknown,0
27,services,married,secondary,8,1,0,0,3,999,0,unknown,0
48,admin.,married,secondary,126,1,1,0,2,999,0,unknown,0
59,admin.,married,secondary,230,1,0,0,3,999,0,unknown,0
46,technician,married,tertiary,841,1,0,0,1,999,0,unknown,0
38,admin.,divorced,secondary,308,1,0,0,1,999,0,unknown,0
43,management,divorced,tertiary,1,1,0,0,1,999,0,unknown,0
38,admin.,divorced,tertiary,86,1,0,0,1,999,0,unknown,0
23,student,single,secondary,157,1,0,0,1,999,0,unknown,0
34,services,married,secondary,22,1,0,0,1,999,0,unknown,0
38,admin.,married,secondary,46,1,1,0,1,999,0,unknown,0
37,blue-collar,married,secondary,1293,0,0,0,1,999,0,unknown,0
25,admin.,single,secondary,122,1,0,0,1,999,0,unknown,0
48,blue-collar,married,unknown,131,1,0,0,1,999,0,unknown,0
49,blue-collar,single,secondary,143,1,0,0,1,999,0,unknown,0
38,admin.,single,secondary,393,0,0,0,2,999,0,unknown,0
43,blue-collar,married,primary,98,1,0,0,1,999,0,unknown,0
33,management,married,tertiary,0,1,0,0,1,999,0,unknown,0
55,blue-collar,married,secondary,224,1,0,0,1,999,0,unknown,0
38,blue-collar,married,secondary,757,1,0,0,1,999,0,unknown,0
49,services,married,secondary,245,1,1,0,1,999,0,unknown,0
40,management,married,secondary,8486,0,0,0,3,999,0,unknown,0
43,admin.,married,unknown,350,0,0,0,1,999,0,unknown,0
38,blue-collar,married,secondary,20,1,0,0,1,999,0,unknown,0
58,services,married,secondary,1667,1,1,0,1,999,0,unknown,0
57,technician,married,unknown,345,1,0,0,1,999,0,unknown,0
32,unemployed,married,secondary,10,1,0,0,4,999,0,unknown,0
56,management,married,tertiary,830,1,1,0,1,999,0,unknown,1
58,blue-collar,divorced,unknown,29,1,0,0,1,999,0,unknown,0
60,retired,divorced,secondary,545,1,0,0,1,999,0,unknown,1
37,technician,married,tertiary,8730,1,0,0,1,999,0,unknown,0
46,technician,divorced,tertiary,477,1,0,0,1,999,0,unknown,0
27,admin.,married,secondary,4,1,0,0,1,999,0,unknown,0
43,blue-collar,married,secondary,1205,1,0,0,2,999,0,unknown,0
32,technician,single,secondary,0,1,1,0,3,999,0,unknown,0
40,admin.,single,secondary,263,1,0,0,1,999,0,unknown,0
38,admin.,married,secondary,1,0,0,0,1,999,0,unknown,0
34,blue-collar,married,secondary,283,0,1,0,1,999,0,unknown,0
47,blue-collar,married,primary,206,1,0,0,1,999,0,unknown,0
42,housemaid,married,primary,17,1,0,0,1,999,0,unknown,0
48,technician,married,secondary,141,1,1,0,1,999,0,unknown,0
29,self-employed,single,tertiary,16,1,0,0,1,999,0,unknown,0
50,services,married,secondary,206,1,0,0,1,999,0,unknown,0
52,technician,married,unknown,7,0,0,0,2,999,0,unknown,0
50,management,married,tertiary,0,0,0,0,1,999,0,unknown,0
58,retired,married,tertiary,0,0,0,0,1,999,0,unknown,0
46,blue-collar,divorced,primary,1927,1,0,0,3,999,0,unknown,0
38,technician,married,secondary,284,1,0,0,1,999,0,unknown,0
46,blue-collar,married,secondary,1660,1,0,0,1,999,0,unknown,0
32,services,single,secondary,406,1,0,0,1,999,0,unknown,0
51,blue-collar,married,primary,230,1,0,0,1,999,0,unknown,0
39,admin.,single,secondary,-25,1,0,0,1,999,0,unknown,0
48,admin.,married,secondary,182,1,0,0,2,999,0,unknown,0
36,entrepreneur,married,tertiary,1169,1,0,0,2,999,0,unknown,0
34,admin.,divorced,secondary,67,1,0,0,1,999,0,unknown,0
40,technician,married,secondary,77,0,0,0,1,999,0,unknown,0
43,unemployed,married,secondary,0,1,0,0,1,999,0,unknown,0
52,blue-collar,divorced,primary,55,1,1,0,1,999,0,unknown,0
33,technician,married,secondary,72,1,0,1,1,999,0,unknown,0
49,management,single,tertiary,163,1,0,0,3,999,0,unknown,0
32,management,single,tertiary,151,1,0,0,1,999,0,unknown,0
39,admin.,single,secondary,113,1,0,0,1,999,0,unknown,0
40,blue-collar,married,secondary,0,1,0,0,1,999,0,unknown,0
38,technician,single,tertiary,9,1,0,0,3,999,0,unknown,0
43,management,married,secondary,375,1,0,0,2,999,0,unknown,0
39,services,married,secondary,1142,1,0,0,1,999,0,unknown,0
54,blue-collar,married,primary,2102,1,0,0,1,999,0,unknown,0
38,technician,single,tertiary,4325,1,0,0,1,999,0,unknown,0
